id,check_id,mod_kind,key,scale,ref,min_mod,max_mod,enabled,notes
mod_chk_dock_chat_stat_scale_network_base_0.005,chk_dock_chat,stat_scale,network_base,0.005,25,-0.10,0.22,1,基层人脉
mod_chk_dock_chat_stat_scale_suspicion_m0.002,chk_dock_chat,stat_scale,suspicion,-0.002,15,-0.12,0.05,1,你太烫工人少说话
mod_chk_dock_chat_relation_scale_zhou_hongye_player_suspicion_m0.002,chk_dock_chat,relation_scale,zhou_hongye:player:suspicion,-0.002,15,-0.10,0.04,1,老板疑心传下来
mod_chk_dock_chat_flag_flat_boss_watching_m0.10,chk_dock_chat,flag_flat,boss_watching,-0.10,,,,1,监视中闲聊易穿帮
mod_chk_co_eavesdrop_relation_scale_zhou_hongye_player_trust_0.004,chk_co_eavesdrop,relation_scale,zhou_hongye:player:trust,0.004,35,-0.12,0.16,1,鸿业信任
mod_chk_co_eavesdrop_relation_scale_zhou_hongye_player_suspicion_m0.005,chk_co_eavesdrop,relation_scale,zhou_hongye:player:suspicion,-0.005,15,-0.20,0.08,1,鸿业疑心(越高越难)
mod_chk_co_eavesdrop_relation_scale_zhou_hongye_player_favor_0.002,chk_co_eavesdrop,relation_scale,zhou_hongye:player:favor,0.002,40,-0.06,0.10,1,鸿业赏识
mod_chk_co_eavesdrop_stat_scale_trust_0.003,chk_co_eavesdrop,stat_scale,trust,0.003,45,-0.10,0.12,1,公司职级
mod_chk_co_eavesdrop_stat_scale_intel_0.0025,chk_co_eavesdrop,stat_scale,intel,0.0025,10,-0.06,0.14,1,情报
mod_chk_co_eavesdrop_stat_scale_suspicion_m0.003,chk_co_eavesdrop,stat_scale,suspicion,-0.003,20,-0.18,0.06,1,全局嫌疑
mod_chk_co_eavesdrop_flag_flat_boss_watching_m0.15,chk_co_eavesdrop,flag_flat,boss_watching,-0.15,,,,1,被监视
mod_chk_co_eavesdrop_relation_scale_zhou_shaoting_player_suspicion_m0.003,chk_co_eavesdrop,relation_scale,zhou_shaoting:player:suspicion,-0.003,20,-0.12,0.06,1,少霆疑心
mod_chk_co_eavesdrop_stat_scale_network_base_0.002,chk_co_eavesdrop,stat_scale,network_base,0.002,25,-0.04,0.08,1,办公室熟人也帮忙挡
mod_chk_dock_steal_relation_scale_zhou_hongye_player_trust_0.004,chk_dock_steal,relation_scale,zhou_hongye:player:trust,0.004,35,-0.12,0.16,1,鸿业信任
mod_chk_dock_steal_relation_scale_zhou_hongye_player_suspicion_m0.005,chk_dock_steal,relation_scale,zhou_hongye:player:suspicion,-0.005,15,-0.20,0.08,1,鸿业疑心(越高越难)
mod_chk_dock_steal_relation_scale_zhou_hongye_player_favor_0.002,chk_dock_steal,relation_scale,zhou_hongye:player:favor,0.002,40,-0.06,0.10,1,鸿业赏识
mod_chk_dock_steal_stat_scale_trust_0.003,chk_dock_steal,stat_scale,trust,0.003,45,-0.10,0.12,1,公司职级
mod_chk_dock_steal_stat_scale_intel_0.0025,chk_dock_steal,stat_scale,intel,0.0025,10,-0.06,0.14,1,情报
mod_chk_dock_steal_stat_scale_suspicion_m0.003,chk_dock_steal,stat_scale,suspicion,-0.003,20,-0.18,0.06,1,全局嫌疑
mod_chk_dock_steal_flag_flat_boss_watching_m0.15,chk_dock_steal,flag_flat,boss_watching,-0.15,,,,1,被监视
mod_chk_dock_steal_stat_scale_network_base_0.003,chk_dock_steal,stat_scale,network_base,0.003,25,-0.06,0.12,1,码头熟路
mod_chk_dock_bribe_relation_scale_zhou_hongye_player_trust_0.004,chk_dock_bribe,relation_scale,zhou_hongye:player:trust,0.004,35,-0.12,0.16,1,鸿业信任
mod_chk_dock_bribe_relation_scale_zhou_hongye_player_suspicion_m0.005,chk_dock_bribe,relation_scale,zhou_hongye:player:suspicion,-0.005,15,-0.20,0.08,1,鸿业疑心(越高越难)
mod_chk_dock_bribe_relation_scale_zhou_hongye_player_favor_0.002,chk_dock_bribe,relation_scale,zhou_hongye:player:favor,0.002,40,-0.06,0.10,1,鸿业赏识
mod_chk_dock_bribe_stat_scale_trust_0.003,chk_dock_bribe,stat_scale,trust,0.003,45,-0.10,0.12,1,公司职级
mod_chk_dock_bribe_stat_scale_intel_0.0025,chk_dock_bribe,stat_scale,intel,0.0025,10,-0.06,0.14,1,情报
mod_chk_dock_bribe_stat_scale_suspicion_m0.003,chk_dock_bribe,stat_scale,suspicion,-0.003,20,-0.18,0.06,1,全局嫌疑
mod_chk_dock_bribe_flag_flat_boss_watching_m0.15,chk_dock_bribe,flag_flat,boss_watching,-0.15,,,,1,被监视
mod_chk_dock_bribe_stat_scale_network_base_0.004,chk_dock_bribe,stat_scale,network_base,0.004,25,-0.08,0.16,1,买得动仓管
mod_chk_dock_bribe_stat_scale_money_0.0003,chk_dock_bribe,stat_scale,money,0.0003,80,-0.04,0.06,1,口袋厚一点更敢收
mod_chk_co_peek_relation_scale_zhou_hongye_player_trust_0.004,chk_co_peek,relation_scale,zhou_hongye:player:trust,0.004,35,-0.12,0.16,1,鸿业信任
mod_chk_co_peek_relation_scale_zhou_hongye_player_suspicion_m0.005,chk_co_peek,relation_scale,zhou_hongye:player:suspicion,-0.005,15,-0.20,0.08,1,鸿业疑心(越高越难)
