id,owner_type,owner_id,cond_group,cond_type,key,op,value,notes
c_hs_dock_office_rank,hotspot,dock_office,1,rank_min,foreman,gte,,from hotspot unlock
c_hs_company_boss_stat,hotspot,company_boss,1,stat,trust,gte,55,
c_hs_company_finance_rank,hotspot,company_finance,1,rank_min,warehouse_chief,gte,,from hotspot unlock
c_hs_rival_meet_stat,hotspot,rival_meet,1,stat,network_elite,gte,20,
c_hs_rival_office_flag,hotspot,rival_office,1,flag,joined_tongyang,eq,1,
c_hs_exchange_vip_stat,hotspot,exchange_vip,1,stat,money,gte,300,
c_act_dock_report_rank,action,dock_report,1,rank_min,foreman,gte,,
c_act_dock_steal_list_rank,action,dock_steal_list,1,rank_min,foreman,gte,,
c_act_dock_bribe_clerk_rank,action,dock_bribe_clerk,1,rank_min,foreman,gte,,
c_act_dock_black_market_stat,action,dock_black_market,1,stat,intel,gte,10,
c_act_co_recruit_elder_stat,action,co_recruit_elder,1,stat,money,gte,40,
c_act_co_flatter_boss_stat,action,co_flatter_boss,1,stat,trust,gte,55,
c_act_co_take_blame_stat,action,co_take_blame,1,stat,trust,gte,55,
c_act_co_boss_task_stat,action,co_boss_task,1,stat,trust,gte,55,
c_act_co_pass_rumor_stat,action,co_pass_rumor,1,stat,intel,gte,15,
c_act_co_peek_books_rank,action,co_peek_books,1,rank_min,warehouse_chief,gte,,
c_act_co_bribe_accountant_rank,action,co_bribe_accountant,1,rank_min,warehouse_chief,gte,,
c_act_co_frame_finance_stat,action,co_frame_finance,1,stat,intel,gte,25,
c_act_home_guide_su_rel,action,home_guide_su,1,relation,su_qing:player:favor,gte,40,
c_act_rival_sell_intel_stat,action,rival_sell_intel,1,stat,network_elite,gte,20,
c_act_rival_plot_poach_stat,action,rival_plot_poach,1,stat,intel,gte,20,
c_act_rival_accept_job_flag,action,rival_accept_job,1,flag,can_join_tongyang,eq,1,
c_act_rival_hijack_order_flag,action,rival_hijack_order,1,flag,joined_tongyang,eq,1,
c_act_ex_buy_stat,action,ex_buy,1,stat,money,gte,50,
c_act_ex_short_stat,action,ex_short,1,stat,money,gte,80,
c_act_ex_rumor_true_stat,action,ex_rumor_true,1,stat,intel,gte,10,
c_act_ex_rumor_fake_stat,action,ex_rumor_fake,1,stat,intel,gte,8,
c_act_ex_leverage_stat,action,ex_leverage,1,stat,money,gte,300,
c_act_ex_white_knight_stat,action,ex_white_knight,1,stat,network_elite,gte,40,
c_ev_ev_day1_intro_day_day_1,event,ev_day1_intro,1,day,day,eq,1,第1天
c_ev_ev_day3_son_notice_day_day_3,event,ev_day3_son_notice,1,day,day,eq,3,
c_ev_ev_day5_promotion_stolen_day_day_5,event,ev_day5_promotion_stolen,1,day,day,eq,5,
c_ev_ev_day6_su_distance_day_day_6,event,ev_day6_su_distance,1,day,day,eq,6,
c_ev_ev_day7_choice_day_day_7,event,ev_day7_choice,1,day,day,eq,7,
c_ev_ev_b_pillow_talk_flag_ending_route_b_ready_0,event,ev_b_pillow_talk,1,flag,ending_route_b_ready,eq,0,未结束
c_ev_ev_b_pillow_talk_stat_father_son_tension_35,event,ev_b_pillow_talk,1,stat,father_son_tension,gte,35,
c_ev_ev_b_pillow_talk_relation_su_qing_player_favor_40,event,ev_b_pillow_talk,1,relation,su_qing:player:favor,gte,40,格式 source:target:relation_key
