id,dialogue_id,sort,speaker_id,emotion,enabled,notes
dlg_su_talk_l01,dlg_su_talk,1,su_qing,soft,1,
dlg_su_talk_l02,dlg_su_talk,2,player,resolve,1,
dlg_su_talk_l03,dlg_su_talk,3,su_qing,soft,1,
dlg_su_talk_l04,dlg_su_talk,4,narrator,neutral,1,
dlg_su_guide_l01,dlg_su_guide,1,player,resolve,1,
dlg_su_guide_l02,dlg_su_guide,2,su_qing,soft,1,
dlg_su_guide_l03,dlg_su_guide,3,player,resolve,1,
dlg_su_guide_l04,dlg_su_guide,4,su_qing,soft,1,
dlg_su_office_l01,dlg_su_office,1,narrator,neutral,1,
dlg_su_office_l02,dlg_su_office,2,su_qing,soft,1,
dlg_su_office_l03,dlg_su_office,3,zhou_shaoting,smug,1,
dlg_boss_flatter_l01,dlg_boss_flatter,1,zhou_hongye,cold,1,
dlg_boss_flatter_l02,dlg_boss_flatter,2,player,resolve,1,
dlg_boss_flatter_l03,dlg_boss_flatter,3,zhou_hongye,cold,1,
dlg_boss_blame_l01,dlg_boss_blame,1,zhou_hongye,cold,1,
dlg_boss_blame_l02,dlg_boss_blame,2,player,resolve,1,
dlg_boss_blame_l03,dlg_boss_blame,3,zhou_hongye,cold,1,
dlg_boss_task_l01,dlg_boss_task,1,zhou_hongye,cold,1,
dlg_boss_task_l02,dlg_boss_task,2,player,resolve,1,
dlg_son_meet_l01,dlg_son_meet,1,zhou_shaoting,smug,1,
dlg_son_meet_l02,dlg_son_meet,2,player,resolve,1,
dlg_son_meet_l03,dlg_son_meet,3,zhou_shaoting,smug,1,
dlg_son_rumor_l01,dlg_son_rumor,1,player,resolve,1,
dlg_son_rumor_l02,dlg_son_rumor,2,zhou_shaoting,smug,1,
dlg_son_rumor_l03,dlg_son_rumor,3,player,resolve,1,
dlg_son_rumor_l04,dlg_son_rumor,4,zhou_shaoting,smug,1,
dlg_chen_lobby_l01,dlg_chen_lobby,1,narrator,neutral,1,
dlg_chen_lobby_l02,dlg_chen_lobby,2,chen_manager,sharp,1,
dlg_chen_lobby_l03,dlg_chen_lobby,3,player,resolve,1,
dlg_chen_sell_l01,dlg_chen_sell,1,chen_manager,sharp,1,
dlg_chen_sell_l02,dlg_chen_sell,2,player,resolve,1,
dlg_chen_sell_l03,dlg_chen_sell,3,chen_manager,sharp,1,
dlg_chen_hire_l01,dlg_chen_hire,1,chen_manager,sharp,1,
dlg_chen_hire_l02,dlg_chen_hire,2,player,resolve,1,
dlg_chen_hire_l03,dlg_chen_hire,3,chen_manager,sharp,1,
dlg_contact_corner_l01,dlg_contact_corner,1,narrator,neutral,1,
dlg_contact_corner_l02,dlg_contact_corner,2,chen_manager,sharp,1,
dlg_contact_corner_l03,dlg_contact_corner,3,player,resolve,1,
dlg_broker_l01,dlg_broker,1,narrator,neutral,1,
dlg_broker_l02,dlg_broker,2,narrator,neutral,1,
dlg_broker_l03,dlg_broker,3,player,resolve,1,
dlg_white_knight_l01,dlg_white_knight,1,narrator,neutral,1,
dlg_white_knight_l02,dlg_white_knight,2,narrator,neutral,1,
dlg_white_knight_l03,dlg_white_knight,3,player,resolve,1,
dlg_dock_work_l01,dlg_dock_work,1,narrator,neutral,1,
dlg_dock_work_l02,dlg_dock_work,2,player,resolve,1,
dlg_dock_work_l03,dlg_dock_work,3,narrator,neutral,1,
dlg_dock_chat_l01,dlg_dock_chat,1,narrator,neutral,1,
dlg_dock_chat_l02,dlg_dock_chat,2,player,resolve,1,
dlg_dock_chat_l03,dlg_dock_chat,3,narrator,neutral,1,
dlg_dock_manifest_l01,dlg_dock_manifest,1,narrator,neutral,1,
dlg_dock_manifest_l02,dlg_dock_manifest,2,player,resolve,1,
dlg_dock_manifest_l03,dlg_dock_manifest,3,narrator,neutral,1,
dlg_dock_report_l01,dlg_dock_report,1,narrator,neutral,1,
dlg_dock_report_l02,dlg_dock_report,2,player,resolve,1,
dlg_dock_report_l03,dlg_dock_report,3,narrator,neutral,1,
dlg_dock_steal_l01,dlg_dock_steal,1,narrator,neutral,1,
dlg_dock_steal_l02,dlg_dock_steal,2,player,resolve,1,
dlg_dock_steal_l03,dlg_dock_steal,3,narrator,neutral,1,
dlg_dock_bribe_l01,dlg_dock_bribe,1,narrator,neutral,1,
dlg_dock_bribe_l02,dlg_dock_bribe,2,player,resolve,1,
dlg_dock_bribe_l03,dlg_dock_bribe,3,narrator,neutral,1,
dlg_dock_board_l01,dlg_dock_board,1,narrator,neutral,1,
dlg_dock_board_l02,dlg_dock_board,2,player,resolve,1,
dlg_dock_board_l03,dlg_dock_board,3,narrator,neutral,1,
dlg_dock_black_l01,dlg_dock_black,1,narrator,neutral,1,
dlg_dock_black_l02,dlg_dock_black,2,player,resolve,1,
dlg_dock_black_l03,dlg_dock_black,3,narrator,neutral,1,
dlg_co_work_l01,dlg_co_work,1,narrator,neutral,1,
dlg_co_work_l02,dlg_co_work,2,player,resolve,1,
dlg_co_work_l03,dlg_co_work,3,narrator,neutral,1,
dlg_co_eavesdrop_l01,dlg_co_eavesdrop,1,narrator,neutral,1,
dlg_co_eavesdrop_l02,dlg_co_eavesdrop,2,player,resolve,1,
dlg_co_eavesdrop_l03,dlg_co_eavesdrop,3,narrator,neutral,1,
dlg_co_elder_l01,dlg_co_elder,1,narrator,neutral,1,
dlg_co_elder_l02,dlg_co_elder,2,player,resolve,1,
dlg_co_elder_l03,dlg_co_elder,3,narrator,neutral,1,
dlg_co_peek_l01,dlg_co_peek,1,narrator,neutral,1,
dlg_co_peek_l02,dlg_co_peek,2,player,resolve,1,
dlg_co_peek_l03,dlg_co_peek,3,narrator,neutral,1,
dlg_co_bribe_acc_l01,dlg_co_bribe_acc,1,narrator,neutral,1,
dlg_co_bribe_acc_l02,dlg_co_bribe_acc,2,player,resolve,1,
dlg_co_bribe_acc_l03,dlg_co_bribe_acc,3,narrator,neutral,1,
dlg_co_frame_l01,dlg_co_frame,1,narrator,neutral,1,
dlg_co_frame_l02,dlg_co_frame,2,player,resolve,1,
dlg_co_frame_l03,dlg_co_frame,3,narrator,neutral,1,
dlg_home_organize_l01,dlg_home_organize,1,narrator,neutral,1,
dlg_home_organize_l02,dlg_home_organize,2,player,resolve,1,
dlg_home_organize_l03,dlg_home_organize,3,narrator,neutral,1,
dlg_home_plan_l01,dlg_home_plan,1,narrator,neutral,1,
dlg_home_plan_l02,dlg_home_plan,2,player,resolve,1,
dlg_home_plan_l03,dlg_home_plan,3,narrator,neutral,1,
dlg_home_rest_l01,dlg_home_rest,1,narrator,neutral,1,
dlg_home_rest_l02,dlg_home_rest,2,player,resolve,1,
dlg_home_rest_l03,dlg_home_rest,3,narrator,neutral,1,
dlg_rival_poach_l01,dlg_rival_poach,1,narrator,neutral,1,
dlg_rival_poach_l02,dlg_rival_poach,2,chen_manager,sharp,1,
dlg_rival_poach_l03,dlg_rival_poach,3,player,resolve,1,
dlg_rival_hijack_l01,dlg_rival_hijack,1,narrator,neutral,1,
dlg_rival_hijack_l02,dlg_rival_hijack,2,chen_manager,sharp,1,
dlg_rival_hijack_l03,dlg_rival_hijack,3,player,resolve,1,
dlg_ex_rumor_true_l01,dlg_ex_rumor_true,1,narrator,neutral,1,
dlg_ex_rumor_true_l02,dlg_ex_rumor_true,2,player,resolve,1,
dlg_ex_rumor_true_l03,dlg_ex_rumor_true,3,narrator,neutral,1,
dlg_ex_rumor_fake_l01,dlg_ex_rumor_fake,1,narrator,neutral,1,
dlg_ex_rumor_fake_l02,dlg_ex_rumor_fake,2,player,resolve,1,
dlg_ex_rumor_fake_l03,dlg_ex_rumor_fake,3,narrator,neutral,1,
dlg_ex_leverage_l01,dlg_ex_leverage,1,narrator,neutral,1,
dlg_ex_leverage_l02,dlg_ex_leverage,2,player,resolve,1,
dlg_ex_leverage_l03,dlg_ex_leverage,3,narrator,neutral,1,
dlg_ex_buy_l01,dlg_ex_buy,1,narrator,neutral,1,
dlg_ex_buy_l02,dlg_ex_buy,2,player,tense,1,
dlg_ex_buy_l03,dlg_ex_buy,3,narrator,neutral,1,
dlg_ex_short_l01,dlg_ex_short,1,narrator,cold,1,
dlg_ex_short_l02,dlg_ex_short,2,player,tense,1,
dlg_ex_short_l03,dlg_ex_short,3,narrator,cold,1,
dlg_ex_trade_l01,dlg_ex_trade,1,narrator,tense,1,
dlg_ex_trade_l02,dlg_ex_trade,2,player,resolve,1,
dlg_ex_trade_l03,dlg_ex_trade,3,narrator,neutral,1,
