id,event_id,sort,enabled,notes
ch_d7_endure,ev_day7_choice,1,1,路线B倾向
ch_d7_defect,ev_day7_choice,2,1,路线A倾向
ch_d7_finance,ev_day7_choice,3,1,路线C倾向
ch_b_push,ev_b_pillow_talk,1,1,
ch_b_wait,ev_b_pillow_talk,2,1,
ch_intro_ok,ev_day1_intro,1,1,单确认
ch_d3_ok,ev_day3_son_notice,1,1,
ch_d5_ok,ev_day5_promotion_stolen,1,1,
ch_d6_ask,ev_day6_su_distance,1,1,
ch_d6_hold,ev_day6_su_distance,2,1,
ch_b_clash_ok,ev_b_public_clash,1,1,进结局B
ch_a_ok,ev_a_first_strike,1,1,进结局A
ch_c_ok,ev_c_first_short,1,1,进结局C
ch_fail_fired_ok,ev_fail_fired,1,1,
ch_fail_broke_ok,ev_fail_broke,1,1,
ch_ev_b_d9_night_shift_ok,ev_b_d9_night_shift,1,1,
ch_ev_b_d11_su_letter_allow,ev_b_d11_su_letter,1,1,
ch_ev_b_d11_su_letter_forbid,ev_b_d11_su_letter,2,1,
ch_ev_b_d14_elder_drink_ok,ev_b_d14_elder_drink,1,1,
ch_ev_b_d16_fake_ledger_ok,ev_b_d16_fake_ledger,1,1,
ch_ev_b_d19_su_afraid_comfort,ev_b_d19_su_afraid,1,1,
ch_ev_b_d19_su_afraid_use,ev_b_d19_su_afraid,2,1,
ch_ev_b_d21_watchman_ok,ev_b_d21_watchman,1,1,
ch_ev_b_d24_boardroom_noise_ok,ev_b_d24_boardroom_noise,1,1,
ch_ev_b_d27_promotion_hint_ok,ev_b_d27_promotion_hint,1,1,
ch_ev_a_d12_probe_ok,ev_a_d12_probe,1,1,
ch_ev_c_d13_tick_ok,ev_c_d13_tick,1,1,
ch_ev_rank_foreman_remind_ok,ev_rank_foreman_remind,1,1,
ch_ev_a_offer_ok,ev_a_offer,1,1,
ch_ev_a_offer_interest,ev_a_offer,2,1,
ch_ev_low_money_debuff_ok,ev_low_money_debuff,1,1,
ch_ev_boss_watching_ok,ev_boss_watching,1,1,
ch_ev_b_d28_calm_before_ok,ev_b_d28_calm_before,1,1,
ch_ev_b_d29_whisper_low,ev_b_d29_whisper,1,1,
ch_ev_b_d29_whisper_push,ev_b_d29_whisper,2,1,
ch_ev_b_d30_hook_ok,ev_b_d30_hook,1,1,
ch_ev_c_profit_milestone_ok,ev_c_profit_milestone,1,1,
ch_ev_a_d20_pressure_hide,ev_a_d20_pressure,1,1,
ch_ev_a_d20_pressure_strike,ev_a_d20_pressure,2,1,
ch_ev_c_d22_drift_hold,ev_c_d22_drift,1,1,
ch_ev_c_d22_drift_think_close,ev_c_d22_drift,2,1,
ch_ev_b_d8_corridor_endure,ev_b_d8_corridor,1,1,
ch_ev_b_d8_corridor_stare,ev_b_d8_corridor,2,1,
ch_ev_b_d10_tea_ok,ev_b_d10_tea,1,1,
ch_ev_b_d10_tea_ask,ev_b_d10_tea,2,1,
ch_ev_b_d13_gift_return,ev_b_d13_gift,1,1,
ch_ev_b_d13_gift_keep,ev_b_d13_gift,2,1,
ch_ev_b_d17_echo_ok,ev_b_d17_ledger_echo,1,1,
ch_ev_b_d22_rain_love,ev_b_d22_rain,1,1,
ch_ev_b_d22_rain_truth,ev_b_d22_rain,2,1,
ch_ev_b_d25_mirror_ok,ev_b_d25_mirror,1,1,
ch_ev_a_d8_smoke_ok,ev_a_d8_smoke,1,1,
ch_ev_a_d10_list_take,ev_a_d10_list,1,1,
ch_ev_a_d10_list_delay,ev_a_d10_list,2,1,
ch_ev_a_d15_leak_clean,ev_a_d15_leak,1,1,
ch_ev_a_d15_leak_ignore,ev_a_d15_leak,2,1,
ch_ev_a_d18_order_yes,ev_a_d18_order,1,1,
ch_ev_a_d18_order_lie,ev_a_d18_order,2,1,
ch_ev_a_d23_wall_ok,ev_a_d23_wall,1,1,
ch_ev_a_d26_forward,ev_a_d26_choice,1,1,
ch_ev_a_d26_pause,ev_a_d26_choice,2,1,
ch_ev_c_d8_board_ok,ev_c_d8_board,1,1,
ch_ev_c_d10_tip_buy,ev_c_d10_tip,1,1,
ch_ev_c_d10_tip_pass,ev_c_d10_tip,2,1,
ch_ev_c_d15_margin_add,ev_c_d15_margin,1,1,
ch_ev_c_d15_margin_cut,ev_c_d15_margin,2,1,
ch_ev_c_d17_rumor_push,ev_c_d17_rumor_war,1,1,
ch_ev_c_d17_rumor_true,ev_c_d17_rumor_war,2,1,
ch_ev_c_d19_vip_pay,ev_c_d19_vip,1,1,
ch_ev_c_d19_vip_wait,ev_c_d19_vip,2,1,
ch_ev_c_d25_hold,ev_c_d25_close_call,1,1,
ch_ev_c_d25_cut,ev_c_d25_close_call,2,1,
ch_ev_d4_salary_ok,ev_d4_salary,1,1,
ch_ev_d16_festival_go,ev_d16_festival,1,1,
ch_ev_d16_festival_skip,ev_d16_festival,2,1,
ch_ev_d20_storm_ok,ev_d20_storm,1,1,
ch_ev_flag_su_leak_ok,ev_flag_su_leak,1,1,
ch_ev_flag_su_leak_soft,ev_flag_su_leak,2,1,
ch_ev_flag_su_gifts_confront,ev_flag_su_gifts,1,1,
ch_ev_flag_su_gifts_use,ev_flag_su_gifts,2,1,
ch_ev_flag_su_betray_mend,ev_flag_su_betray_risk,1,1,
ch_ev_flag_su_betray_push,ev_flag_su_betray_risk,2,1,
ch_ev_flag_son_hostile_bow,ev_flag_son_hostile,1,1,
ch_ev_flag_son_hostile_needle,ev_flag_son_hostile,2,1,
ch_ev_a_d9_dock_ok,ev_a_d9_dock,1,1,
ch_ev_a_d9_dock_feed,ev_a_d9_dock,2,1,
ch_ev_a_d14_tea_hold,ev_a_d14_tea,1,1,
ch_ev_a_d14_tea_sell,ev_a_d14_tea,2,1,
ch_ev_a_d17_shadow_hide,ev_a_d17_shadow,1,1,
ch_ev_a_d17_shadow_risk,ev_a_d17_shadow,2,1,
ch_ev_a_d21_packet_go,ev_a_d21_packet,1,1,
ch_ev_a_d21_packet_burn,ev_a_d21_packet,2,1,
ch_ev_a_d24_cover_take,ev_a_d24_cover,1,1,
ch_ev_a_d24_cover_refuse,ev_a_d24_cover,2,1,
ch_ev_a_d28_ready_ok,ev_a_d28_ready,1,1,
ch_ev_a_d28_ready_wait,ev_a_d28_ready,2,1,
ch_ev_a_d30_hook_ok,ev_a_d30_hook,1,1,
ch_ev_c_d9_ledger_ride,ev_c_d9_ledger,1,1,
ch_ev_c_d9_ledger_wait,ev_c_d9_ledger,2,1,
ch_ev_c_d12_open_ok,ev_c_d12_open,1,1,
ch_ev_c_d16_audit_short,ev_c_d16_audit,1,1,
ch_ev_c_d16_audit_flat,ev_c_d16_audit,2,1,
ch_ev_c_d18_ally_nod,ev_c_d18_ally,1,1,
ch_ev_c_d18_ally_trade,ev_c_d18_ally,2,1,
ch_ev_c_d21_spike_hold,ev_c_d21_spike,1,1,
ch_ev_c_d21_spike_cut,ev_c_d21_spike,2,1,
ch_ev_c_d24_broker_go,ev_c_d24_broker,1,1,
ch_ev_c_d24_broker_skip,ev_c_d24_broker,2,1,
ch_ev_c_d28_ready_ok,ev_c_d28_ready,1,1,
ch_ev_c_d30_hook_ok,ev_c_d30_hook,1,1,
ch_d7_wait,ev_day7_choice,4,1,postpone fork
ch_div_cold,ev_divorce_ultimatum,1,1,冷退
ch_div_wait,ev_divorce_ultimatum,2,1,再忍
ch_div_weapon,ev_divorce_ultimatum,3,1,当刀
ch_div_after_ok,ev_divorce_aftermath,1,1,余波确认
ch_power_flex_accept,ev_power_flex,1,1,收下场面
ch_power_flex_press,ev_power_flex,2,1,拿去压人
ch_su_reconcile_ok,ev_su_reconcile,1,1,求合确认
ch_su_let_go_ok,ev_su_let_go,1,1,放手确认
