id,priority,max_triggers,weight,tags,period,enabled,notes
ev_day1_intro,100,1,100,all,morning,1,开场
ev_day3_son_notice,90,1,100,B,afternoon,1,转折铺垫
ev_day5_promotion_stolen,95,1,100,all,morning,1,打压
ev_day6_su_distance,90,1,100,B,evening,1,关系下滑事件入口
ev_day7_choice,100,1,100,all,evening,1,玩家选发展方向
ev_b_pillow_talk,70,0,100,B,any,1,可重复或限次；条件表控制
ev_b_public_clash,100,1,100,B,afternoon,1,路线B Demo终点钩子
ev_a_offer,80,0,100,A,any,1,条件：intel/人脉
ev_a_first_strike,100,1,100,A,afternoon,1,A线终点
ev_c_first_short,100,1,100,C,afternoon,1,C线终点
ev_fail_fired,100,1,100,all,any,1,失败结局之一
ev_fail_broke,100,1,100,C|all,any,1,金钱归零类失败
ev_low_money_debuff,40,0,100,all,morning,1,可每日检测
ev_boss_watching,60,0,100,all,any,1,flag:boss_watching
ev_b_d9_night_shift,85,1,100,B,evening,1,
ev_b_d11_su_letter,80,1,100,B,evening,1,
ev_b_d14_elder_drink,75,1,100,B,afternoon,1,
ev_b_d16_fake_ledger,78,1,100,B,morning,1,
ev_b_d19_su_afraid,82,1,100,B,evening,1,
ev_b_d21_watchman,88,1,100,B,any,1,
ev_b_d24_boardroom_noise,90,1,100,B,afternoon,1,
ev_b_d27_promotion_hint,86,1,100,B,morning,1,
ev_a_d12_probe,70,1,100,A,afternoon,1,
ev_c_d13_tick,70,1,100,C,morning,1,
ev_rank_foreman_remind,50,0,100,all,morning,1,
ev_b_d28_calm_before,88,1,100,B,evening,1,
ev_b_d29_whisper,88,1,100,B,morning,1,
ev_b_d30_hook,95,1,100,B|all,afternoon,1,
ev_c_profit_milestone,92,1,100,C,any,1,
ev_a_d20_pressure,80,1,100,A,afternoon,1,
ev_c_d22_drift,75,1,100,C,morning,1,
ev_b_d8_corridor,80,1,100,B,afternoon,1,
ev_b_d10_tea,78,1,100,B,morning,1,
ev_b_d13_gift,82,1,100,B,evening,1,
ev_b_d17_ledger_echo,80,1,100,B,afternoon,1,
ev_b_d22_rain,85,1,100,B,evening,1,
ev_b_d25_mirror,76,1,100,B,morning,1,
ev_a_d8_smoke,75,1,100,A,evening,1,
ev_a_d10_list,78,1,100,A,afternoon,1,
ev_a_d15_leak,82,1,100,A,morning,1,
ev_a_d18_order,88,1,100,A,evening,1,
ev_a_d23_wall,80,1,100,A,afternoon,1,
ev_a_d26_choice,84,1,100,A,morning,1,
ev_c_d8_board,74,1,100,C,morning,1,
ev_c_d10_tip,76,1,100,C,afternoon,1,
ev_c_d15_margin,80,1,100,C,evening,1,
ev_c_d17_rumor_war,78,1,100,C,afternoon,1,
ev_c_d19_vip,77,1,100,C,morning,1,
ev_c_d25_close_call,86,1,100,C,morning,1,
ev_d4_salary,70,1,100,all,afternoon,1,
ev_d16_festival,72,1,100,all|B,evening,1,
ev_d20_storm,73,1,100,all,morning,1,
ev_flag_su_leak,65,1,100,B,evening,1,v0.8
ev_flag_su_gifts,66,1,100,B,evening,1,v0.8
ev_flag_su_betray_risk,70,1,100,B,any,1,v0.8
ev_flag_son_hostile,72,1,100,B|all,morning,1,v0.8
ev_a_d9_dock,78,1,100,A,evening,1,v0.8
ev_a_d14_tea,78,1,100,A,afternoon,1,v0.8
ev_a_d17_shadow,78,1,100,A,morning,1,v0.8
ev_a_d21_packet,78,1,100,A,evening,1,v0.8
ev_a_d24_cover,78,1,100,A,afternoon,1,v0.8
ev_a_d28_ready,78,1,100,A,morning,1,v0.8
ev_a_d30_hook,78,1,100,A,afternoon,1,v0.8
ev_c_d9_ledger,78,1,100,C,afternoon,1,v0.8
ev_c_d12_open,78,1,100,C,morning,1,v0.8
ev_c_d16_audit,78,1,100,C,morning,1,v0.8
ev_c_d18_ally,78,1,100,C,afternoon,1,v0.8
ev_c_d21_spike,78,1,100,C,morning,1,v0.8
ev_c_d24_broker,78,1,100,C,afternoon,1,v0.8
ev_c_d28_ready,78,1,100,C,evening,1,v0.8
ev_c_d30_hook,78,1,100,C,afternoon,1,v0.8
