id,location_id,hotspot_id,periods,tags,weight,cooldown_days,enabled,notes
chatter_dock_01,dock,,any,all,10,1,1,
chatter_dock_02,dock,dock_loading,morning|afternoon,all,8,1,1,
chatter_dock_03,dock,dock_corner,evening,A|plot,6,1,1,
chatter_co_01,company,,morning|afternoon,B,10,1,1,
chatter_co_02,company,company_floor,afternoon,B,8,1,1,
chatter_co_03,company,company_vp,any,B,5,1,1,
chatter_home_01,home,,evening,B|all,10,1,1,
chatter_home_02,home,home_living,afternoon|evening,B,8,1,1,
chatter_rival_01,rival,,any,A,8,1,1,
chatter_ex_01,exchange,,morning|afternoon,C,10,1,1,
chatter_ex_02,exchange,exchange_tea,any,C,8,1,1,
chatter_ex_03,exchange,exchange_hall,morning,C,6,1,1,
chatter_dock_04,dock,,evening,all,7,1,1,
chatter_dock_05,dock,dock_board,any,C|A,6,1,1,
chatter_co_04,company,company_boss,morning,B,5,1,1,
chatter_co_05,company,company_finance,afternoon,B|C,6,1,1,
chatter_co_06,company,,evening,B,5,1,1,
chatter_home_03,home,home_desk,any,all,7,1,1,
chatter_home_04,home,,evening,B,6,1,1,
chatter_rival_02,rival,rival_meet,any,A,6,1,1,
chatter_rival_03,rival,,evening,A,5,1,1,
chatter_ex_04,exchange,exchange_vip,morning|afternoon,C,5,1,1,
chatter_ex_05,exchange,,any,C,7,1,1,
chatter_ex_06,exchange,exchange_tea,afternoon|evening,C,6,1,1,
chatter_dock_06,dock,dock_loading,morning,all,7,1,1,v0.7
chatter_dock_07,dock,dock_office,afternoon,B,7,1,1,v0.7
chatter_dock_08,dock,,evening,all,7,1,1,v0.7
chatter_co_07,company,company_floor,morning,B,7,1,1,v0.7
chatter_co_08,company,company_vp,afternoon,B,7,1,1,v0.7
chatter_co_09,company,company_finance,morning,B|C,7,1,1,v0.7
chatter_co_10,company,,afternoon,B,7,1,1,v0.7
chatter_home_05,home,home_living,evening,B,7,1,1,v0.7
chatter_home_06,home,,morning,all,7,1,1,v0.7
chatter_home_07,home,home_desk,evening,all,7,1,1,v0.7
chatter_rival_04,rival,rival_lobby,any,A,7,1,1,v0.7
chatter_rival_05,rival,rival_office,afternoon,A,7,1,1,v0.7
chatter_rival_06,rival,,evening,A,7,1,1,v0.7
chatter_ex_07,exchange,exchange_hall,afternoon,C,7,1,1,v0.7
chatter_ex_08,exchange,exchange_vip,morning,C,7,1,1,v0.7
chatter_ex_09,exchange,exchange_tea,evening,C,7,1,1,v0.7
chatter_ex_10,exchange,,any,C,7,1,1,v0.7
chatter_dock_09,dock,dock_corner,afternoon,A|plot,7,1,1,v0.7
chatter_co_11,company,company_boss,afternoon,B,7,1,1,v0.7
chatter_all_rain,dock,,any,all,7,1,1,v0.7
chatter_home_bed_01,home,home_bed,evening,all,8,1,1,v0.8
chatter_home_bed_02,home,home_bed,evening,B,6,1,1,v0.8
chatter_dock_storm,dock,,any,all,9,1,1,暴雨码头
chatter_home_rain,home,,evening,all,8,1,1,雨夜出租屋
chatter_co_rain,company,,morning|afternoon,B,6,1,1,雨天公司走廊
chatter_plaza_01,plaza,,any,all,10,1,1,
chatter_plaza_02,plaza,plaza_court,morning|afternoon,all,8,1,1,
chatter_plaza_03,plaza,plaza_stalls,any,all,8,1,1,
chatter_plaza_04,plaza,plaza_whisper,afternoon|evening,all,6,1,1,
chatter_plaza_scratch,plaza,plaza_stalls,any,all,7,1,1,
chatter_dock_shelter,dock,dock_loading,any,all,8,1,1,
chatter_plaza_dice,plaza,plaza_court,afternoon|evening,all,6,1,1,
chatter_tea_01,tea_house,,afternoon|evening,all,10,1,1,
chatter_tea_02,tea_house,tea_stage,any,all,8,1,1,
chatter_garage_01,garage,,any,all,10,1,1,车行闲话
chatter_garage_02,garage,garage_counter,any,all,8,1,1,
chatter_home_tier2,home,,any,all,7,1,1,住房档≥2
chatter_vehicle_rickshaw,plaza,,any,all,6,1,1,座驾≥2
chatter_divorce_rumor,tea_house,,afternoon|evening,all,12,2,1,邻里传宏远亲事散了
chatter_divorce_weapon,tea_house,tea_stage,any,B|all,10,2,1,故意散伙闲话
chatter_su_used_tool,tea_house,,afternoon|evening,B|all,11,2,1,他拿女人推裂缝
chatter_dock_foreman_01,dock,dock_loading,morning|afternoon,all,9,1,1,老郑催号子
chatter_dock_foreman_02,dock,,evening,all,8,1,1,工头清点夜班
chatter_plaza_aunt_01,plaza,plaza_stalls,morning|afternoon,all,9,1,1,阿婶摊前
chatter_plaza_aunt_02,plaza,,any,all,7,1,1,糖糕香里闲话
chatter_tea_waiter_01,tea_house,,morning|afternoon,all,9,1,1,小福擦盏
chatter_tea_waiter_02,tea_house,tea_stage,afternoon|evening,all,8,1,1,后座谁来
chatter_garage_hand_01,garage,,morning|afternoon,all,9,1,1,阿强拧螺丝
chatter_garage_hand_02,garage,garage_counter,any,all,8,1,1,车行柜台气派价
