key,text
actions.co_boss_task.description,Errands for pay and trust
actions.co_boss_task.name,Take Boss's Task
actions.co_boss_task.result,Errand done. Your pocket clicks a little fuller.
actions.co_bribe_accountant.description,Cash for leaks and proof
actions.co_bribe_accountant.name,Bribe Accountant
actions.co_bribe_accountant.result,"Behind the accountant's lenses, a price flickers."
actions.co_eavesdrop.description,Collect floor rumors
actions.co_eavesdrop.name,Eavesdrop
actions.co_eavesdrop.result,Gossip behind the screen—success or failure hangs on nerve and luck.
actions.co_flatter_boss.description,Play loyal for trust
actions.co_flatter_boss.name,Flatter the Boss
actions.co_flatter_boss.result,The boss taps his tea lid—you've passed.
actions.co_frame_finance.description,Shift blame to deepen the feud
actions.co_frame_finance.name,Frame a Ledger Gap
actions.co_frame_finance.result,You toss the blame. Teeth find each other.
actions.co_meet_son.description,Jockey with Zhou Shaoting
actions.co_meet_son.name,Deal with the Vice Manager
actions.co_meet_son.result,Shaoting's sneer still hangs on the pillar.
actions.co_meet_su.description,Run into Su in the vice office
actions.co_meet_su.name,Chance into Fiancée
actions.co_meet_su.result,"Eyes meet in the hall, then tear apart."
actions.co_pass_rumor.description,Use the son to divide father and son
actions.co_pass_rumor.name,Plant a False Tip
actions.co_pass_rumor.result,A false word enters a true ear. The air tightens.
actions.co_peek_books.description,Spot finance irregularities
actions.co_peek_books.name,Peek at the Books
actions.co_peek_books.result,The ledger's crack is deeper than you thought.
actions.co_recruit_elder.description,Treat them; buy street support
actions.co_recruit_elder.name,Court Senior Clerks
actions.co_recruit_elder.result,The elder takes the wine; his eyes loosen an inch.
actions.co_take_blame.description,Cover for superiors; gain trust and leverage
actions.co_take_blame.name,Take the Blame
actions.co_take_blame.result,You take the blame—and a moment of being one of theirs.
actions.co_work.description,Honest labor to hold your post
actions.co_work.name,Office Work
actions.co_work.result,The brush goes stiff. You still write yourself as reliable.
actions.dock_black_market.description,"Fast cash, high heat"
actions.dock_black_market.name,Fence Gray Goods
actions.dock_black_market.result,Gray goods become silver. Someone seems to watch the scale.
actions.dock_bribe_clerk.description,Pay for inside talk
actions.dock_bribe_clerk.name,Bribe Warehouse Clerk
actions.dock_bribe_clerk.result,The clerk's fingers loosen; news slips out before the cash.
actions.dock_chat.description,Pick up yard gossip and quiet grudges
actions.dock_chat.name,Chat with Workers
actions.dock_chat.result,Workers whisper: someone fiddled the night manifests.
actions.dock_check_board.description,Public sailings and market wind
actions.dock_check_board.name,Check Harbor Board
actions.dock_check_board.result,The board's ink is still wet: sailings changed again.
actions.dock_meet_contact.description,Swap tips or arrange gray cargo
actions.dock_meet_contact.name,Meet Rival Contact
actions.dock_meet_contact.result,Corner smoke fades. The deal leaves a tide-smell.
actions.dock_report.description,Look eager for a scrap of trust
actions.dock_report.name,Report to Foreman
actions.dock_report.result,"The chief snorts—heard, at least."
actions.dock_steal_list.description,Copy intake details while no one looks
actions.dock_steal_list.name,Steal Intake List
actions.dock_steal_list.result,Paper and pulse both stutter. Success turns on a breath at the door.
actions.dock_watch_manifest.description,Memorize odd sailings and tonnage
actions.dock_watch_manifest.name,Watch Manifests
actions.dock_watch_manifest.result,You pocket ship names and tonnage like a key.
actions.dock_work.description,Work the docks for wages
actions.dock_work.name,Haul Cargo
actions.dock_work.result,Chants land on your shoulders. Pay hits; sweat isn't dry—someone laughs: even the foreman has days like this.
actions.ex_buy.description,Open long via formula (price×lots + fee)
actions.ex_buy.name,Buy Hongyuan Shares
actions.ex_buy.result,You bet on a rise. Street talk crawls into your ear.
actions.ex_leverage.description,Amplify gains and blow-up risk
actions.ex_leverage.name,Use Leverage
actions.ex_leverage.result,Leverage lifts you—and hangs you.
actions.ex_meet_broker.description,Raise elite standing
actions.ex_meet_broker.name,Meet a Broker
actions.ex_meet_broker.result,The broker writes your name into a small book.
actions.ex_rumor_fake.description,Force a drop; higher heat
actions.ex_rumor_fake.name,Spread False Rumors
actions.ex_rumor_fake.result,Lies travel faster. Your back burns hotter.
actions.ex_rumor_true.description,Spend intel to move the price
actions.ex_rumor_true.name,Spread True News
actions.ex_rumor_true.result,Truth hits the price like a hammer.
actions.ex_short.description,Open short via formula (post margin)
actions.ex_short.name,Short Hongyuan
actions.ex_short.result,You bet on a fall. Some call you mad; some nod.
actions.ex_trade.description,Close position if any; otherwise watch the board
actions.ex_trade.name,Trade Hongyuan Stock
actions.ex_trade.result,The board ticks. Your palms are wet.
actions.ex_white_knight.description,Lay groundwork for a buyout
actions.ex_white_knight.name,Contact a White Knight
actions.ex_white_knight.result,The gold cuff vanishes behind the curtain. A hook remains.
actions.home_guide_su.description,Have her whisper to Shaoting
actions.home_guide_su.name,Push Pillow Talk
actions.home_guide_su.result,"Her nod is light, as if night might hear."
actions.home_organize.description,Turn scraps into usable intel
actions.home_organize.name,Sort Intel
actions.home_organize.result,Scraps become a usable thread.
actions.home_plan.description,Clarify the next move
actions.home_plan.name,Study the Board
actions.home_plan.result,"You write revenge in three steps, then cross out two."
actions.home_rest.description,Sleep; cool suspicion
actions.home_rest.name,Rest
actions.home_rest.result,The tide grows distant. Suspicion eases a little.
actions.home_talk_su.description,Steer her mood; fish Zhou news
actions.home_talk_su.name,Talk with Fiancée
actions.home_talk_su.result,"Before the lamp oil dies, words remain unfinished."
actions.rival_accept_job.description,Defect as a business lead
actions.rival_accept_job.name,Accept Tongyang Post
actions.rival_accept_job.result,The old door closes. The new sign stings the eyes.
actions.rival_apply.description,Probe Tongyang's interest
actions.rival_apply.name,Ask about Hiring
actions.rival_apply.result,Tongyang's clerk notes your name—and your cuffs.
actions.rival_hijack_order.description,Defect-route demo milestone
actions.rival_hijack_order.name,Hijack a Hongyuan Order
actions.rival_hijack_order.result,The sailing changes hands. Someone curses at Hongyuan.
actions.rival_plot_poach.description,Plan the first commercial strike
actions.rival_plot_poach.name,Plot a Poach
actions.rival_plot_poach.result,The poach sketch opens like a war map.
actions.rival_sell_intel.description,Trade secrets for cash and favor
actions.rival_sell_intel.name,Sell Hongyuan Intel
actions.rival_sell_intel.result,Intel becomes silver and a thin smile. Hongyuan burns behind you.
checks.chk_co_bribe_acc.fail,He takes the silver but pushes the book away: 'Winds are tight this month.'
checks.chk_co_bribe_acc.name,Bribe Accountant Check
checks.chk_co_bribe_acc.success,The price behind the lenses pays out. Holes and proof land.
checks.chk_co_eavesdrop.fail,A teacup taps. Someone looks back—you pretend you were only passing.
checks.chk_co_eavesdrop.name,Eavesdrop Check
checks.chk_co_eavesdrop.success,Words behind the screen land in your ear. You pocket the shards.
checks.chk_co_frame.fail,The frame shows seams. Hongye's tea lid taps harder—the point drifts toward you.
checks.chk_co_frame.name,Frame Finance Check
checks.chk_co_frame.success,Blame flies. People bite each other; the crack deepens.
checks.chk_co_pass_rumor.fail,Shaoting scoffs: 'You think I'm easy?' The cuff feels cold.
checks.chk_co_pass_rumor.name,Plant Rumor Check
checks.chk_co_pass_rumor.success,The lie enters a true ear. The air in the building tightens.
checks.chk_co_peek.fail,The finance curtain stirs. You close the book and pretend to seek a stamp pad.
checks.chk_co_peek.name,Peek Ledgers Check
checks.chk_co_peek.success,The gap enters memory. The crack is deeper than you thought.
checks.chk_dock_black.fail,"Someone watches the scale. You leave with half the coin, back burning."
checks.chk_dock_black.name,Black Market Check
checks.chk_dock_black.success,Contraband becomes silver. The scale tips—no one shouts.
checks.chk_dock_bribe.fail,He takes the coin and gives only empty words. Eyes drift to the door.
checks.chk_dock_bribe.name,Bribe Clerk Check
checks.chk_dock_bribe.success,Silver lands; news slips out first.
checks.chk_dock_chat.fail,They talk only tide and sore backs. Nothing useful.
checks.chk_dock_chat.name,Dock Chat Check
checks.chk_dock_chat.success,A docker lowers his voice: someone doctored the night order.
checks.chk_dock_steal.fail,Footsteps turn at the door. You tear only scrap—heart racing.
checks.chk_dock_steal.name,Steal Manifest Check
checks.chk_dock_steal.success,The edge is clean. The list is in your cuff.
checks.chk_ex_rumor_fake.fail,No one bites. Someone remembers your accent.
checks.chk_ex_rumor_fake.name,Fake Rumor Check
checks.chk_ex_rumor_fake.success,The lie travels. The board feels a hammer.
dialogue_choices.dch_dlg_boss_blame_ok.label,Bow and take it
dialogue_choices.dch_dlg_boss_blame_quiet.label,Admit less—leave a seam
dialogue_choices.dch_dlg_boss_flatter_humble.label,"Fewer compliments, more results"
dialogue_choices.dch_dlg_boss_flatter_ok.label,Pledge loyalty again
dialogue_choices.dch_dlg_boss_task_askpay.label,Gently ask for more pay
dialogue_choices.dch_dlg_boss_task_ok.label,Take the order and go
dialogue_choices.dch_dlg_broker_listen.label,Listen without paying
dialogue_choices.dch_dlg_broker_ok.label,Pay for names
dialogue_choices.dch_dlg_chen_hire_delay.label,Promise to consider—don't join yet
dialogue_choices.dch_dlg_chen_hire_ok.label,Accept the post
dialogue_choices.dch_dlg_chen_lobby_ok.label,Leave a way to reach you
dialogue_choices.dch_dlg_chen_lobby_wary.label,Card only—no deep talk
dialogue_choices.dch_dlg_chen_sell_hold.label,Hold back—sell half the intel
dialogue_choices.dch_dlg_chen_sell_ok.label,Deal
dialogue_choices.dch_dlg_co_bribe_acc_ok.label,Pay for the hole
dialogue_choices.dch_dlg_co_eaves_linger.label,Linger longer
dialogue_choices.dch_dlg_co_eaves_safe.label,Leave after listening
dialogue_choices.dch_dlg_co_elder_ask.label,Probe old grudges
dialogue_choices.dch_dlg_co_elder_toast.label,Toast first
dialogue_choices.dch_dlg_co_frame_fan.label,Fan the fire
dialogue_choices.dch_dlg_co_frame_ok.label,Watch hands-off
dialogue_choices.dch_dlg_co_peek_copy.label,Copy one more gap line
dialogue_choices.dch_dlg_co_peek_ok.label,Memorize the gap
dialogue_choices.dch_dlg_co_work_ok.label,Finish the pile
dialogue_choices.dch_dlg_co_work_overtime.label,Stay late—learn the files
dialogue_choices.dch_dlg_contact_corner_ok.label,Swap signs and leave
dialogue_choices.dch_dlg_contact_corner_wary.label,Trade news only—no cargo
dialogue_choices.dch_dlg_dock_black_greed.label,Flip one more load
dialogue_choices.dch_dlg_dock_black_ok.label,In and out fast
dialogue_choices.dch_dlg_dock_board_ok.label,Note the schedule
dialogue_choices.dch_dlg_dock_bribe_ok.label,Deal
dialogue_choices.dch_dlg_dock_chat_push.label,Push for names
dialogue_choices.dch_dlg_dock_chat_soft.label,Listen along
dialogue_choices.dch_dlg_dock_manifest_ok.label,Memorize the oddity
dialogue_choices.dch_dlg_dock_report_claim.label,Claim a little credit
dialogue_choices.dch_dlg_dock_report_humble.label,Finish humbly
dialogue_choices.dch_dlg_dock_steal_extra.label,Tear an extra half-page
dialogue_choices.dch_dlg_dock_steal_ok.label,Copy and leave
dialogue_choices.dch_dlg_dock_work_ok.label,Finish the shift
dialogue_choices.dch_dlg_dock_work_slow.label,Slow half a beat to listen
dialogue_choices.dch_dlg_ex_buy_ok.label,Confirm the long
dialogue_choices.dch_dlg_ex_buy_small.label,Try a smaller hand
dialogue_choices.dch_dlg_ex_leverage_hesitate.label,Ask the liquidation line
dialogue_choices.dch_dlg_ex_leverage_ok.label,Sign for more
dialogue_choices.dch_dlg_ex_rumor_fake_bold.label,Make it harsher
dialogue_choices.dch_dlg_ex_rumor_fake_ok.label,Release the lie
dialogue_choices.dch_dlg_ex_rumor_true_ok.label,Loosen the rumor
dialogue_choices.dch_dlg_ex_rumor_true_quiet.label,Tell only one person
dialogue_choices.dch_dlg_ex_short_hedge.label,Ask the margin line first
dialogue_choices.dch_dlg_ex_short_ok.label,Confirm the short
dialogue_choices.dch_dlg_ex_trade_ok.label,Close it all
dialogue_choices.dch_dlg_ex_trade_partial.label,Close half and watch
dialogue_choices.dch_dlg_home_organize_burn.label,Burn the hottest papers
dialogue_choices.dch_dlg_home_organize_ok.label,Stash the proof
dialogue_choices.dch_dlg_home_plan_a.label,Lean Tongyang
dialogue_choices.dch_dlg_home_plan_b.label,Lean divide
dialogue_choices.dch_dlg_home_plan_c.label,Lean exchange
dialogue_choices.dch_dlg_home_rest_ok.label,Close your eyes
dialogue_choices.dch_dlg_home_rest_think.label,Lie still—retrace the threads
dialogue_choices.dch_dlg_rival_hijack_delay.label,Wait one more night
dialogue_choices.dch_dlg_rival_hijack_ok.label,Hand them the seam
dialogue_choices.dch_dlg_rival_poach_ok.label,Note poachable names
dialogue_choices.dch_dlg_rival_poach_push.label,Promise favors now
dialogue_choices.dch_dlg_son_meet_endure.label,Endure and finish the errand
dialogue_choices.dch_dlg_son_meet_needle.label,Needle him: the boss trusts old hands more
dialogue_choices.dch_dlg_son_rumor_ok.label,Withdraw; let the misunderstanding grow
