id,npc_id,period,dest_kind,dest_id,weight,enabled,notes
sch_foreman_m,dock_foreman,morning,building,dock,10,1,
sch_foreman_a,dock_foreman,afternoon,building,dock,10,1,
sch_foreman_e,dock_foreman,evening,home,dock_foreman,10,1,
sch_aunt_m,stall_aunt,morning,home,stall_aunt,10,1,
sch_aunt_a,stall_aunt,afternoon,building,plaza,10,1,
sch_aunt_e,stall_aunt,evening,home,stall_aunt,10,1,
sch_waiter_m,tea_waiter,morning,building,tea_house,10,1,
sch_waiter_a,tea_waiter,afternoon,building,tea_house,10,1,
sch_waiter_e,tea_waiter,evening,home,tea_waiter,10,1,
sch_garage_m,garage_hand,morning,building,garage,10,1,
sch_garage_a,garage_hand,afternoon,building,garage,10,1,
sch_garage_e,garage_hand,evening,home,garage_hand,10,1,
sch_su_m,su_qing,morning,building,company,10,1,
sch_su_a,su_qing,afternoon,building,tea_house,10,1,
sch_su_e,su_qing,evening,building,home,10,1,
sch_son_m,zhou_shaoting,morning,building,company,10,1,
sch_son_a,zhou_shaoting,afternoon,building,tea_house,10,1,
sch_son_e,zhou_shaoting,evening,home,zhou_shaoting,10,1,
sch_boss_m,zhou_hongye,morning,building,company,10,1,
sch_boss_a,zhou_hongye,afternoon,building,company,10,1,
sch_boss_e,zhou_hongye,evening,building,company,10,1,
sch_chen_m,chen_manager,morning,building,rival,10,1,
sch_chen_a,chen_manager,afternoon,building,exchange,10,1,
sch_chen_e,chen_manager,evening,home,chen_manager,10,1,
