id,hotspot_id,dialogue_id,stock_rule_id,name_zh,delta_money,delta_intel,delta_network_base,delta_network_elite,delta_trust,delta_suspicion,delta_company_share,delta_stock_price,delta_father_son_tension,delta_position_lots,delta_entry_price,delta_leverage_mult,notes
dock_work,dock_loading,,,搬货打工,20,0,1,0,1,1,0,0,0,0,0,0,基础资源
dock_chat,dock_loading,,,和工人闲聊,-2,3,3,0,0,2,0,0,0,0,0,0,
dock_watch_manifest,dock_loading,,,观察进出货单,0,5,0,0,0,4,0,0,0,0,0,0,
dock_report,dock_office,,,向主管汇报,0,0,0,0,4,0,0,0,0,0,0,0,
dock_steal_list,dock_office,,,偷取进货清单,0,12,0,0,-2,5,0,0,0,0,0,0,高情报高嫌疑
dock_bribe_clerk,dock_office,,,收买仓管员,-25,10,2,0,0,6,0,0,0,0,0,0,
dock_check_board,dock_board,,,查看船期行情,0,4,0,1,0,0,0,1,0,0,0,0,微涨股价认知
dock_meet_contact,dock_corner,dlg_contact_corner,,与竞品线人接头,0,0,0,0,0,0,0,0,0,0,0,0,敏感
dock_black_market,dock_corner,,,倒卖私货,40,0,0,0,-3,10,0,0,0,0,0,0,
co_work,company_floor,,,日常办公,8,0,1,0,3,0,0,0,0,0,0,0,
co_eavesdrop,company_floor,,,偷听同事谈话,0,6,1,0,0,5,0,0,1,0,0,0,
co_recruit_elder,company_floor,,,拉拢老职员,-20,2,6,0,2,3,0,0,0,0,0,0,
co_flatter_boss,company_boss,dlg_boss_flatter,,讨好老板,0,0,0,0,0,0,0,0,0,0,0,0,降低矛盾略
co_take_blame,company_boss,dlg_boss_blame,,主动背锅,0,0,0,0,0,0,0,0,0,0,0,0,
co_boss_task,company_boss,dlg_boss_task,,接受老板任务,0,0,0,0,0,0,0,0,0,0,0,0,
co_meet_son,company_vp,dlg_son_meet,,对接副理,0,0,0,0,0,0,0,0,0,0,0,0,
co_meet_su,company_vp,dlg_su_office,,偶遇未婚妻,0,0,0,0,0,0,0,0,0,0,0,0,关系效果另见表
co_pass_rumor,company_vp,dlg_son_rumor,,传递假消息,0,0,0,0,0,0,0,0,0,0,0,0,耗情报抬矛盾
co_peek_books,company_finance,,,偷看账目,0,15,0,2,0,5,0,-4,0,0,0,0,
co_bribe_accountant,company_finance,,,收买会计,-40,12,0,1,0,10,0,0,0,0,0,0,
co_frame_finance,company_finance,,,栽赃财务漏洞,-10,-10,0,0,-5,5,0,-6,6,0,0,0,
home_organize,home_desk,,,整理情报,0,5,0,0,0,-3,0,0,0,0,0,0,降一点嫌疑
home_plan,home_desk,,,分析局势,0,2,0,0,0,-1,0,0,0,0,0,0,
home_rest,home_bed,,,休息恢复,0,0,0,0,0,-12,0,0,0,0,0,0,
home_talk_su,home_living,dlg_su_talk,,与未婚妻对话,0,0,0,0,0,0,0,0,0,0,0,0,关系Δ在事件/效果扩展
home_guide_su,home_living,dlg_su_guide,,引导她吹枕边风,0,0,0,0,0,0,0,0,0,0,0,0,
rival_apply,rival_lobby,dlg_chen_lobby,,询问招聘/投递简历,0,0,0,0,0,0,0,0,0,0,0,0,抬宏远疑心
rival_sell_intel,rival_meet,dlg_chen_sell,,售卖宏远情报,0,0,0,0,0,0,0,0,0,0,0,0,
rival_plot_poach,rival_meet,,,商议挖人/抢单,-10,0,0,3,0,8,0,0,0,0,0,0,
rival_accept_job,rival_office,dlg_chen_hire,,接受通洋职位,0,0,0,0,0,0,0,0,0,0,0,0,信任大跌
rival_hijack_order,rival_office,,,截胡宏远订单,40,0,0,6,0,12,-12,-10,0,0,0,0,
ex_trade,exchange_hall,,rule_trade_close,买卖宏远股票,0,0,0,1,0,1,0,0,0,0,0,0,实际盈亏W4用公式；此处占位
ex_buy,exchange_hall,,rule_buy_open,买入宏远股票,0,0,0,1,0,1,0,0,0,0,0,0,
ex_short,exchange_hall,,rule_short_open,做空宏远股票,0,0,0,1,0,2,0,0,0,0,0,0,
ex_rumor_true,exchange_tea,,rule_rumor_true,散布真消息,0,0,0,2,0,5,0,0,0,0,0,0,
ex_rumor_fake,exchange_tea,,rule_rumor_fake,散布假传闻,0,0,0,1,0,6,0,0,0,0,0,0,
ex_meet_broker,exchange_tea,dlg_broker,,结识股市掮客,0,0,0,0,0,0,0,0,0,0,0,0,
ex_leverage,exchange_vip,,rule_leverage,加杠杆操作,0,0,0,2,0,4,0,0,0,0,0,0,Demo简化：另事件结算盈亏
ex_white_knight,exchange_vip,dlg_white_knight,rule_white_knight,联系白衣骑士,0,0,0,0,0,0,0,0,0,0,0,0,
